#,Kind,Subtype,Orientation,Closest entrance,Building,Floor,Room,Latitude,Longitude,Notes,Connections,Date,Time,Timestamp
1,entrance,,N,,Rotunda,1,North Entrance,41.721464378395325,-73.93537064347124,,,"Apr 19, 2026",12:36:05 PM,2026-04-19T16:36:05.684Z
2,entrance,,NE,,Rotunda,1,NE Entrance,41.721418535226775,-73.9352719993472,,,"Apr 19, 2026",12:36:22 PM,2026-04-19T16:36:22.583Z
3,entrance,,E,,Rotunda,1,East Entrance,41.72131712446449,-73.93526641571702,,,"Apr 19, 2026",12:36:38 PM,2026-04-19T16:36:38.533Z
4,entrance,,NW,,Rotunda,1,Midrise Entrance,41.72148076522302,-73.93543950813469,,,19 Apr 2026,12:46:44,2026-04-19T16:46:44.746Z
5,hallway,,,,Rotunda,*,H1,41.72146398563959,-73.93543186480309,,H2,19 Apr 2026,12:47:24,2026-04-19T16:47:24.919Z
6,hallway,,,,Rotunda,*,H2,41.72144945402758,-73.93537109568845,,"H1,H3",19 Apr 2026,12:47:29,2026-04-19T16:47:29.190Z
7,hallway,,,,Rotunda,*,H3,41.7214170462276,-73.93531306583698,,"H2,H4",19 Apr 2026,12:47:32,2026-04-19T16:47:32.493Z
8,hallway,,,,Rotunda,*,H4,41.72136141807684,-73.93529153697276,,"H3,H5",19 Apr 2026,12:47:35,2026-04-19T16:47:35.509Z
9,hallway,,,,Rotunda,*,H5,41.721318988513985,-73.93529808277799,,H4,19 Apr 2026,12:47:37,2026-04-19T16:47:37.554Z
