#,Kind,Subtype,Orientation,Closest entrance,Closest entrance (elevator),Building,Floor,Room,Latitude,Longitude,Notes,Closest stair,Closest elevator,Direction from connector,Connections,Date,Time,Timestamp
1,entrance,,N,,,Sheahan,1,Main,41.719176,-73.935966,,,,,,19 Apr 2026,16:04:21,2026-04-19T20:04:21.361Z
2,entrance,,N,,,Sheahan,1,Side,41.719176,-73.93545,,,,,,19 Apr 2026,16:04:26,2026-04-19T20:04:26.499Z
