#,Kind,Subtype,Orientation,Closest entrance,Closest entrance (elevator),Building,Floor,Room,Latitude,Longitude,Notes,Closest stair,Closest elevator,Direction from connector,Connections,Date,Time,Timestamp
1,entrance,,S,,,Fontaine Hall,1,Main,41.72535,-73.933084,,,,,,19 Apr 2026,16:11:34,2026-04-19T20:11:34.196Z
2,entrance,,S,,,Fontaine Hall,1,Side,41.725345,-73.933001,,,,,,19 Apr 2026,16:11:43,2026-04-19T20:11:43.184Z
