#,Kind,Subtype,Orientation,Closest entrance,Closest entrance (elevator),Building,Floor,Room,Latitude,Longitude,Notes,Closest stair,Closest elevator,Direction from connector,Connections,Date,Time,Timestamp
1,entrance,,E,,,Student Center,1,Cabaret Entrance,41.721089,-73.935115,,,,,,19 Apr 2026,16:04:16,2026-04-19T20:04:16.523Z
2,entrance,,E,,,Student Center,1,Main,41.720778,-73.935098,,,,,,19 Apr 2026,16:04:25,2026-04-19T20:04:25.386Z
